"","patient_id","CD274","PDCD1"
"245","GSM1524012",6.77970053670708,5.7328423918816
"246","GSM1524013",6.34543962202867,4.98612656527137
"247","GSM1524014",2.8759759594618,6.66212521720255
"248","GSM1524015",4.48804192526484,6.59411578793697
"249","GSM1524016",6.48167346605046,5.44238079727426
"250","GSM1524017",5.3678015984125,5.67888188844748
"251","GSM1524018",5.31908524259413,1.31468450323005
"252","GSM1524019",5.27665232190245,2.58724705547694
"253","GSM1524020",4.86398627066513,5.27771710440403
"254","GSM1524021",5.57757628739995,4.16397388295654
"255","GSM1524022",5.00974399669918,6.0506967697396
"256","GSM1524023",4.33823199236748,8.12699724373966
"257","GSM1524024",4.47662556332541,6.30528796418283
"258","GSM1524025",8.42485744799848,6.62269767936821
"259","GSM1524026",5.25497993269459,4.11280802186723
"260","GSM1524027",5.48551431074411,5.06924155026742
"261","GSM1524028",5.34541716022748,7.27779266129837
"262","GSM1524029",3.45465917361755,7.83688236917086
"263","GSM1524030",3.62591944605962,5.99004932711016
"264","GSM1524031",4.84665683456276,6.89734145466971
"265","GSM1524032",5.52053725138563,5.89050087469643
"266","GSM1524033",6.52958440551025,7.3450421208347
"267","GSM1524034",5.39675776113289,4.63139725638876
"268","GSM1524035",4.86753245571696,4.64931294680164
"269","GSM1524036",2.52298346664306,3.84129888260621
"270","GSM1524037",11.1439015694996,3.42139664433493
"271","GSM1524038",8.14799043583064,6.40077045018605
"272","GSM1524039",6.39571312724273,3.76454229144011
"273","GSM1524040",6.32306035596301,6.43566951675372
"274","GSM1524041",6.04462911053718,5.1495712236836
"275","GSM1524042",7.02469040482128,7.80371450416573
"276","GSM1524043",8.69327398216848,5.7004273718492
"277","GSM1524044",5.28457530847031,3.51502091039996
"278","GSM1524045",4.02212457434835,3.2553671392481
"279","GSM1524046",4.85696464761259,4.14306344773379
"280","GSM1524047",4.06430149912708,7.4535953286296
"281","GSM1524048",5.73810854113462,5.34200264921889
"282","GSM1524049",5.52699214979642,5.47225264264193
"283","GSM1524050",3.6510899713476,6.07671332186157
"284","GSM1524051",6.74127906443685,6.12330361703847
"285","GSM1524052",1.51858482148594,4.64018158222305
"286","GSM1524053",4.90947597117486,7.70782899848797
"287","GSM1524054",4.99589989972709,5.20878652385282
"288","GSM1524055",4.74716820814345,2.92027623293501
"289","GSM1524056",4.67639437870799,5.8261229431268
"290","GSM1524057",3.46739763322005,3.53007545619071
"291","GSM1524058",7.13609011636432,7.1673419730154
"292","GSM1524059",6.85031809637588,6.41136026162177
"293","GSM1524060",4.68286223529983,6.58271486343673
"294","GSM1524061",4.53205944616874,4.39742238128805
"295","GSM1524062",2.32009856725825,5.60196851862345
